Date,Team,Player,Score,Rank,Opponent
Recorded Game 1,Illegals,@parker10114,1860,,
Recorded Game 2,Illegals,@parker10114,3489,,
Recorded Game 3,Illegals,@parker10114,2859,,
Recorded Game 4,Illegals,@parker10114,5980,,
Recorded Game 5,Illegals,@parker10114,1743,,
Recorded Game 6,Illegals,@parker10114,6477,,
Recorded Game 7,Illegals,@parker10114,2086,,
Recorded Game 8,Illegals,@parker10114,872,,
Recorded Game 1,Illegals,@pelss,901,,
Recorded Game 2,Illegals,@pelss,4402,,
Recorded Game 3,Illegals,@pelss,4773,,
Recorded Game 4,Illegals,@pelss,5786,,
Recorded Game 5,Illegals,@pelss,883,,
Recorded Game 6,Illegals,@pelss,2954,,
Recorded Game 7,Illegals,@pelss,5145,,
Recorded Game 8,Illegals,@pelss,3052,,
Recorded Game 9,Illegals,@pelss,1433,,
Recorded Game 1,Illegals,@glow_loves_punts,1886,,
Recorded Game 2,Illegals,@glow_loves_punts,2716,,
Recorded Game 3,Illegals,@glow_loves_punts,441,,
Recorded Game 4,Illegals,@glow_loves_punts,2420,,
Recorded Game 5,Illegals,@glow_loves_punts,2517,,
Recorded Game 6,Illegals,@glow_loves_punts,2699,,
Recorded Game 7,Illegals,@glow_loves_punts,515,,
Recorded Game 8,Illegals,@glow_loves_punts,2378,,
Recorded Game 9,Illegals,@glow_loves_punts,-59,,
Recorded Game 1,Illegals,@kaidenpickle3,991,,
Recorded Game 2,Illegals,@kaidenpickle3,3303,,
Recorded Game 3,Illegals,@kaidenpickle3,1473,,
Recorded Game 4,Illegals,@kaidenpickle3,1559,,
Recorded Game 5,Illegals,@kaidenpickle3,476,,
Recorded Game 1,Illegals,@member2580826rdql,324,,
Recorded Game 2,Illegals,@member2580826rdql,9536,,
Recorded Game 3,Illegals,@member2580826rdql,7301,,
Recorded Game 4,Illegals,@member2580826rdql,852,,
Recorded Game 5,Illegals,@member2580826rdql,2454,,
Recorded Game 6,Illegals,@member2580826rdql,2331,,
Recorded Game 7,Illegals,@member2580826rdql,8434,,
Recorded Game 8,Illegals,@member2580826rdql,3472,,
Recorded Game 1,Illegals,@cjstroud777,1097,,
Recorded Game 2,Illegals,@cjstroud777,3714,,
Recorded Game 3,Illegals,@cjstroud777,2125,,
Recorded Game 4,Illegals,@cjstroud777,2525,,
Recorded Game 5,Illegals,@cjstroud777,-246,,
Recorded Game 6,Illegals,@cjstroud777,1496,,
Recorded Game 7,Illegals,@cjstroud777,4434,,
Recorded Game 8,Illegals,@cjstroud777,877,,
Recorded Game 9,Illegals,@cjstroud777,724,,
Recorded Game 1,Illegals,@rhyne,1074,,
Recorded Game 1,Illegals,@karty,8197,,
Recorded Game 2,Illegals,@karty,2625,,
Recorded Game 3,Illegals,@karty,2745,,
Recorded Game 1,Cobras,@bobsburger,7377,,
Recorded Game 2,Cobras,@bobsburger,2365,,
Recorded Game 1,Cobras,@target,2343,,
Recorded Game 2,Cobras,@target,5135,,
Recorded Game 3,Cobras,@target,237,,
Recorded Game 4,Cobras,@target,2998,,
Recorded Game 5,Cobras,@target,1729,,
Recorded Game 6,Cobras,@target,1401,,
Recorded Game 7,Cobras,@target,4316,,
Recorded Game 1,Cobras,@intriquid,1391,,
Recorded Game 2,Cobras,@intriquid,4947,,
Recorded Game 3,Cobras,@intriquid,3204,,
Recorded Game 4,Cobras,@intriquid,4270,,
