Date,Team 1,Team 2,Game Type
9/9,Thunderhawks,Whatsgrass,Regular Season
9/9,ALEK Manoahs,Gamblers,Regular Season
9/9,Tigers,Legends,Regular Season
9/9,Illegals,Burritos,Regular Season
9/9,Cobras,Rebels,Regular Season
9/9,Bees,Gus N Em,Regular Season
9/11,Thunderhawks,Tigers,Regular Season
9/11,Whatsgrass,ALEK Manoahs,Regular Season
9/11,Gamblers,Legends,Regular Season
9/11,Illegals,Cobras,Regular Season
9/11,Burritos,Bees,Regular Season
9/11,Gus N Em,Rebels,Regular Season
9/13,Thunderhawks,Gamblers,Regular Season
9/13,ALEK Manoahs,Legends,Regular Season
9/13,Whatsgrass,Tigers,Regular Season
9/13,Illegals,Rebels,Regular Season
9/13,Cobras,Bees,Regular Season
9/13,Burritos,Gus N Em,Regular Season
9/14,Thunderhawks,Legends,Regular Season
9/14,Whatsgrass,Gamblers,Regular Season
9/14,ALEK Manoahs,Tigers,Regular Season
9/14,Illegals,Bees,Regular Season
9/14,Cobras,Gus N Em,Regular Season
9/14,Burritos,Rebels,Regular Season
9/16,Thunderhawks,ALEK Manoahs,Regular Season
9/16,Whatsgrass,Gamblers,Regular Season
9/16,Tigers,Legends,Regular Season
9/16,Illegals,Cobras,Regular Season
9/16,Burritos,Bees,Regular Season
9/16,Gus N Em,Rebels,Regular Season
9/18,Thunderhawks,Tigers,Regular Season
9/18,Whatsgrass,ALEK Manoahs,Regular Season
9/18,Gamblers,Legends,Regular Season
9/18,Illegals,Cobras,Regular Season
9/18,Burritos,Bees,Regular Season
9/18,Gus N Em,Rebels,Regular Season
9/20,Tigers,ALEK Manoahs,Regular Season
9/20,Whatsgrass,Gamblers,Regular Season
9/20,Thunderhawks,Legends,Regular Season
9/20,Illegals,Bees,Regular Season
9/20,Cobras,Rebels,Regular Season
9/20,Burritos,Gus N Em,Regular Season
9/21,Thunderhawks,Whatsgrass,Regular Season
9/21,ALEK Manoahs,Gamblers,Regular Season
9/21,Legends,Tigers,Regular Season
9/21,Illegals,Burritos,Regular Season
9/21,Cobras,Bees,Regular Season
9/21,Rebels,Gus N Em,Regular Season
9/23,Thunderhawks,Legends,Regular Season
9/23,Whatsgrass,Tigers,Regular Season
9/23,ALEK Manoahs,Gamblers,Regular Season
9/23,Illegals,Cobras,Regular Season
9/23,Burritos,Bees,Regular Season
9/23,Gus N Em,BYE,Regular Season
9/30,Thunderhawks,Tigers,Regular Season
9/30,Whatsgrass,ALEK Manoahs,Regular Season
9/30,Gamblers,Legends,Regular Season
9/30,Illegals,Burritos,Regular Season
9/30,Cobras,BYE,Regular Season
9/30,Bees,Gus N Em,Regular Season
10/2,Thunderhawks,Burritos,Regular Season
10/2,ALEK Manoahs,Bees,Regular Season
10/2,Whatsgrass,Illegals,Regular Season
10/2,Cobras,Tigers,Regular Season
10/2,Legends,Gus N Em,Regular Season
10/4,Thunderhawks,Whatsgrass,Regular Season
10/4,ALEK Manoahs,Legends,Regular Season
10/4,Cobras,Illegals,Regular Season
10/4,Tigers,BYE,Regular Season
10/4,Burritos,Gus N Em,Regular Season
10/4,Gamblers,Bees,Regular Season
10/5,Gus N Em,Thunderhawks,Regular Season
10/5,Burritos,Cobras,Regular Season
10/5,Illegals,Bees,Regular Season
10/5,Legends,Tigers,Regular Season
10/5,Whatsgrass,Gamblers,Regular Season
10/5,ALEK Manoahs,BYE,Regular Season
10/7,Cobras,ALEK Manoahs,Regular Season
10/7,Thunderhawks,Whatsgrass,Regular Season
10/7,Gus N Em,Tigers,Regular Season
10/7,Gamblers,Legends,Regular Season
10/7,Illegals,Bees,Regular Season
10/7,Burritos,BYE,Regular Season
10/9,ALEK Manoahs,Bees,Regular Season
10/9,Illegals,Cobras,Regular Season
10/9,Whatsgrass,Legends,Regular Season
10/9,Gus N Em,Burritos,Regular Season
10/9,Thunderhawks,Gamblers,Regular Season
10/9,Tigers,BYE,Regular Season
