Round,Pick,Team,Player
1,1,Burritos,@chris
1,2,Bees,@lebron23goat6
1,3,Masdog N Em,@zayo
1,4,Illegals,@am
1,5,Whatsgrass,@pritchard
1,6,Alek Manoahs,@thereturnofzlo
1,7,Chicken Nuggets,@tk14
1,8,Richer N Em,@kumingaszn
1,9,Legends,@seahawkswoolen
1,10,Enforcers,@member2580826uee
1,11,Gus N Em,@ejwise
1,12,Cobras,@louseal
2,1,Enforcers,@cartercash
2,2,Chicken Nuggets,@sink
2,3,Legends,@jlindell0206
2,4,Illegals,@imtrizzy
2,5,Alek Manoahs,@tyus
2,6,Gus N Em,@shinji
2,7,Whatsgrass,@scottie
2,8,Burritos,@karaoke
2,9,Richer N Em,@kernlcorn
2,10,Cobras,@haligoat
2,11,Bees,@canes_
2,12,Masdog N Em,@cbdaaaaahhh
3,1,Mafia,@four
3,2,Enforcers,@xo
3,3,Illegals,@waitahh
3,4,Chicken Nuggets,@kyrilover_11
3,5,Gus N Em,@⌚️💸
3,6,Richer N Em,@edaddy11
3,7,Alek Manoahs,
3,8,Burritos,
3,9,Whatsgrass,
3,10,Cobras,
3,11,Bees,
3,12,Masdog N Em,
