League,Team,Wins,Losses,GB,Win %
Justin Jefferson,Mafia,15,6,0,.714
Justin Jefferson,The Currents,15,6,0,.714
Justin Jefferson,ALEK Manoahs,14,7,1,.667
Justin Jefferson,Thunderhawks,14,7,1,.667
Justin Jefferson,Doggy N Em,9,12,6,.429
Justin Jefferson,Wolves,7,14,8,.333
Justin Jefferson,Karma Avengers,4,17,11,.190
Justin Jefferson,Whatsgrass,4,17,11,.190
Jrrdql,Gus N Em,17,4,0,.810
Jrrdql,Turkeys,16,5,1,.762
Jrrdql,Illegals,15,6,2,.714
Jrrdql,Burritos,11,9,5.5,.550
Jrrdql,Cobras,10,11,7,.476
Jrrdql,Bees,7,14,10,.333
Jrrdql,Mets,5,15,11.5,.250
Jrrdql,Phoenix,4,17,13,.190
